1      0000  LD HL,7FFFH     FF 11111111  FF FF FF FF 7F FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
2      0003  LD A,3FH        3F 11111111  FF FF FF FF 7F FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
3      0005  JP 0261H        3F 11111111  FF FF FF FF 7F FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
4      0261  LD (HL),01H     3F 11111111  FF FF FF FF 7F FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
5      0263  DEC HL          3F 11111111  FF FF FF FF 7F FE FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
6      0264  CP H            3F 10101011  FF FF FF FF 7F FE FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
7      0265  JR NZ,$-04H     3F 10101011  FF FF FF FF 7F FE FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
8      0261  LD (HL),01H     3F 10101011  FF FF FF FF 7F FE FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
9      0263  DEC HL          3F 10101011  FF FF FF FF 7F FD FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
10     0264  CP H            3F 10101011  FF FF FF FF 7F FD FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
11     0265  JR NZ,$-04H     3F 10101011  FF FF FF FF 7F FD FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
12     0261  LD (HL),01H     3F 10101011  FF FF FF FF 7F FD FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
13     0263  DEC HL          3F 10101011  FF FF FF FF 7F FC FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
14     0264  CP H            3F 10101011  FF FF FF FF 7F FC FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
15     0265  JR NZ,$-04H     3F 10101011  FF FF FF FF 7F FC FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
16     0261  LD (HL),01H     3F 10101011  FF FF FF FF 7F FC FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
17     0263  DEC HL          3F 10101011  FF FF FF FF 7F FB FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
18     0264  CP H            3F 10101011  FF FF FF FF 7F FB FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
19     0265  JR NZ,$-04H     3F 10101011  FF FF FF FF 7F FB FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
20     0261  LD (HL),01H     3F 10101011  FF FF FF FF 7F FB FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
21     0263  DEC HL          3F 10101011  FF FF FF FF 7F FA FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
22     0264  CP H            3F 10101011  FF FF FF FF 7F FA FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
